"","Genus","p.value","CorCoef","CorTest","Plant"
"2041","p__Firmicutes,g__Blautia",0,0.593824958444973,"Spearman","Aalborg West"
"2111","p__Firmicutes,g__Enterococcus",0,0.593662647131279,"Spearman","Aalborg West"
"1263","p__Bacteroidota,g__midas_g_535",0,0.587943360350307,"Spearman","Mariagerfjord"
"268","p__Chloroflexi,g__midas_g_344",0,0.587846063667916,"Spearman","Total"
"484","p__Actinobacteriota,g__Mycobacterium",0,0.586128383293214,"Spearman","Aalborg West"
"1451","p__Chloroflexi,g__midas_g_105",0,0.585276562590418,"Spearman","Aalborg West"
"613","p__Proteobacteria,g__Falsirhodobacter",0,0.583457222797432,"Spearman","Total"
"31","p__Actinobacteriota,g__midas_g_100",0,0.582165595744615,"Spearman","Aalborg West"
"4010","p__Actinobacteriota,g__midas_g_497",0,0.58124132298608,"Spearman","Aalborg West"
"741","p__Proteobacteria,g__Ramlibacter",0,0.580607308169651,"Spearman","Total"
"363","p__Firmicutes,g__Dorea",0,0.577367331861914,"Spearman","Total"
"2210","p__Actinobacteriota,g__Dietzia",0,0.576248199771523,"Spearman","Aalborg West"
"1704","p__Chloroflexi,g__midas_g_119",0,0.575284050903061,"Spearman","Mariagerfjord"
"751","p__Proteobacteria,g__Rubellimicrobium",0,0.567736019060764,"Spearman","Total"
"2161","p__Firmicutes,g__Holdemanella",0,0.565957007613221,"Spearman","Aalborg West"
"366","p__Firmicutes,g__Erysipelotrichaceae_UCG-003",0,0.56529386651476,"Spearman","Total"
"1813","p__Actinobacteriota,g__Ca_Microthrix",0,0.565105501809635,"Spearman","Damhusåen"
"765","p__Proteobacteria,g__Tabrizicola",0,0.564418543123576,"Spearman","Total"
"411","p__Firmicutes,g__Ruminococcus_torques_group",0,0.564358995019989,"Spearman","Total"
"132","p__Bacteroidota,g__Terrimonas",0,0.563396095774937,"Spearman","Aalborg West"
"368","p__Firmicutes,g__Eubacterium_hallii_group",0,0.56077209848734,"Spearman","Total"
"4341","p__Proteobacteria,g__midas_g_35378",0,0.557923209944154,"Spearman","Mariagerfjord"
"688","p__Proteobacteria,g__midas_g_57",0,0.557709664993707,"Spearman","Total"
"4871","p__Proteobacteria,g__Sideroxydans",0,0.556549124861668,"Spearman","Mariagerfjord"
"1710","p__Actinobacteriota,g__Aeromicrobium",0,0.553387379101936,"Spearman","Aalborg West"
"373","p__Firmicutes,g__Holdemanella",0,0.552361351887653,"Spearman","Total"
"418","p__Firmicutes,g__Subdoligranulum",0,0.550599158158483,"Spearman","Total"
"1521","p__Chloroflexi,g__midas_g_1400",0,0.55016772370887,"Spearman","Aalborg West"
"139","p__Chloroflexi,g__Anaerolinea",0,0.550073042109215,"Spearman","Aalborg West"
"214","p__Firmicutes,g__Faecalibacterium",0,0.546326355951443,"Spearman","Aalborg West"
"643","p__Proteobacteria,g__midas_g_155",0,0.543967059067771,"Spearman","Total"
"801","p__WPS-2,g__midas_g_1701",0,0.543642773692921,"Spearman","Total"
"1184","p__Bacteroidota,g__midas_g_380",0,0.541318341115093,"Spearman","Mariagerfjord"
"355","p__Firmicutes,g__Catenibacterium",0,0.537462514134612,"Spearman","Total"
"638","p__Proteobacteria,g__midas_g_1319",0,0.536129970224558,"Spearman","Total"
"4281","p__Proteobacteria,g__midas_g_268",0,0.535702464818293,"Spearman","Mariagerfjord"
"2351","p__Firmicutes,g__Ruminococcus_torques_group",0,0.533896014511039,"Spearman","Aalborg West"
"4413","p__Proteobacteria,g__midas_g_454",0,0.533830887769928,"Spearman","Mariagerfjord"
"583","p__Proteobacteria,g__BD1-7_clade",0,0.532631906567339,"Spearman","Total"
"2181","p__Firmicutes,g__Lactococcus",0,0.532024925755954,"Spearman","Aalborg West"
"371","p__Firmicutes,g__Fusicatenibacter",0,0.531773480151834,"Spearman","Total"
"1","p__Acidobacteriota,g__Blastocatella",0,0.53153348316727,"Spearman","Aalborg West"
"410","p__Firmicutes,g__Ruminococcus_gauvreauii_group",0,0.527439241564309,"Spearman","Total"
"1043","p__Bacteroidota,g__midas_g_2092",0,0.527019707501572,"Spearman","Mariagerfjord"
"1401","p__Chloroflexi,g__Ca_Amarolinea",0,0.526727264822884,"Spearman","Aalborg West"
"349","p__Firmicutes,g__Anaerostipes",0,0.52528757490908,"Spearman","Total"
"1601","p__Chloroflexi,g__midas_g_1947",0,0.520911109415513,"Spearman","Aalborg West"
"247","p__Chloroflexi,g__midas_g_1422",0,0.520786181939775,"Spearman","Total"
"360","p__Firmicutes,g__Coprococcus",0,0.520553645244359,"Spearman","Total"
"2421","p__Firmicutes,g__Turicibacter",0,0.520437701417239,"Spearman","Aalborg West"
"3151","p__Proteobacteria,g__Falsirhodobacter",0,0.519513428658703,"Spearman","Aalborg West"
"991","p__Bacteroidota,g__midas_g_31",0,0.514089525592759,"Spearman","Aalborg West"
"746","p__Proteobacteria,g__Rhodoplanes",0,0.513613800465983,"Spearman","Total"
"423","p__Firmicutes,g__UCG-002",0,0.511958386220107,"Spearman","Total"
"207","p__Firmicutes,g__Clostridium_sensu_stricto_1",0,0.511767572077414,"Spearman","Aalborg West"
"1661","p__Chloroflexi,g__midas_g_3181",0,0.510401451853822,"Spearman","Aalborg West"
"130","p__Bacteroidota,g__midas_g_1343",0,0.5082911036844,"Spearman","Total"
"1041","p__Bacteroidota,g__midas_g_380",0,0.507551163024741,"Spearman","Aalborg West"
"2851","p__Planctomycetota,g__Pirellula",0,0.503435591307784,"Spearman","Aalborg West"
"4210","p__Actinobacteriota,g__midas_g_52",0,0.502975709252318,"Spearman","Aalborg West"
"184","p__Bacteroidota,g__midas_g_6",0,0.50227074468228,"Spearman","Total"
"43","p__Actinobacteriota,g__Leucobacter",0,0.501746981252548,"Spearman","Total"
"336","p__Proteobacteria,g__midas_g_2400",0,0.499945898063362,"Spearman","Aalborg West"
"237","p__Firmicutes,g__Streptococcus",0,0.499323704694201,"Spearman","Aalborg West"
"4091","p__Proteobacteria,g__midas_g_4210",0,0.494350671362089,"Spearman","Aalborg East"
"1491","p__Chloroflexi,g__midas_g_1277",0,0.492231602015291,"Spearman","Aalborg West"
"166","p__Bacteroidota,g__midas_g_384",0,0.492046265318894,"Spearman","Total"
"119","p__Bacteroidota,g__midas_g_6",0,0.486379377427099,"Spearman","Aalborg West"
"375","p__Firmicutes,g__Lachnospiraceae_ND3007_group",0,0.486076008685892,"Spearman","Total"
"684","p__Proteobacteria,g__midas_g_523",0,0.485929506749231,"Spearman","Total"
"678","p__Proteobacteria,g__midas_g_436",0,0.485785808634109,"Spearman","Total"
"242","p__Chloroflexi,g__midas_g_1277",0,0.482738704958899,"Spearman","Total"
"112","p__Bacteroidota,g__IheB3-7",0,0.481865055990378,"Spearman","Total"
"2164","p__Elusimicrobiota,g__midas_g_945",0,0.481850688399005,"Spearman","Mariagerfjord"
"709","p__Proteobacteria,g__midas_g_8915",0,0.48104023875572,"Spearman","Total"
"441","p__midas_p_86028,g__midas_g_86028",0,0.480168364161099,"Spearman","Total"
"834","p__Bacteroidota,g__midas_g_1061",0,0.479217501614339,"Spearman","Mariagerfjord"
"2761","p__Patescibacteria,g__midas_g_5657",0,0.478172439066153,"Spearman","Aalborg West"
"2171","p__Firmicutes,g__Intestinibacter",0,0.477862542105763,"Spearman","Aalborg West"
"1253","p__Bacteroidota,g__midas_g_4865",0,0.475867487839834,"Spearman","Mariagerfjord"
"283","p__Chloroflexi,g__midas_g_6223",0,0.474668378900718,"Spearman","Total"
"98","p__Bacteroidota,g__midas_g_300",0,0.474535160175034,"Spearman","Aalborg West"
"505","p__Patescibacteria,g__midas_g_2784",0,0.47407516125368,"Spearman","Total"
"921","p__Desulfobacterota,g__midas_g_1334",0,0.473300373012876,"Pearson","Aalborg West"
"2101","p__Firmicutes,g__Dorea",0,0.472875977857272,"Spearman","Aalborg West"
"12","p__Acidobacteriota,g__midas_g_352",0,0.471085981442551,"Spearman","Total"
"346","p__Firmicutes,g__Agathobacter",0,0.470237845326537,"Spearman","Total"
"213","p__Firmicutes,g__Eubacterium_hallii_group",0,0.470184315238512,"Spearman","Aalborg West"
"1721","p__Chloroflexi,g__midas_g_461",0,0.468854264195742,"Spearman","Aalborg West"
"2062","p__Desulfobacterota,g__midas_g_1334",0,0.467404368362675,"Spearman","Mariagerfjord"
"5191","p__Verrucomicrobiota,g__midas_g_3235",0,0.465735238995844,"Spearman","Mariagerfjord"
"1232","p__Chloroflexi,g__Ca_Amarolinea",0,0.465509826877816,"Spearman","Damhusåen"
"145","p__Bacteroidota,g__midas_g_207",0,0.464047362534588,"Spearman","Total"
"47","p__Actinobacteriota,g__midas_g_99",0,0.462754063989406,"Spearman","Aalborg West"
"618","p__Proteobacteria,g__Ideonella",0,0.462531899312017,"Spearman","Total"
"97","p__Bacteroidota,g__midas_g_283",0,0.458570039014181,"Spearman","Aalborg West"
"2643","p__Patescibacteria,g__midas_g_8524",0,0.458546525559427,"Spearman","Damhusåen"
"2721","p__Patescibacteria,g__midas_g_3760",0,0.45783024021515,"Spearman","Aalborg West"
"4232","p__Proteobacteria,g__midas_g_2019",0,0.457042481788338,"Spearman","Mariagerfjord"
"4381","p__Proteobacteria,g__midas_g_4210",0,0.456564902956894,"Spearman","Mariagerfjord"
"7512","p__Bacteroidota,g__Crocinitomix",0,0.456433534339771,"Spearman","Mariagerfjord"
"141","p__Chloroflexi,g__Ca_Promineofilum",0,0.455499649996801,"Spearman","Aalborg West"
"3104","p__Acidobacteriota,g__JGI_0001001-H03",0,0.45462595634048,"Spearman","Mariagerfjord"
"1932","p__Chloroflexi,g__midas_g_731",0,0.453472933705507,"Spearman","Mariagerfjord"
"1693","p__Chloroflexi,g__midas_g_105",0,0.453438397436516,"Spearman","Mariagerfjord"
"4614","p__Proteobacteria,g__Nitrosomonas",0,0.452450312955087,"Spearman","Mariagerfjord"
"2671","p__Patescibacteria,g__midas_g_12243",0,0.451228723522988,"Spearman","Aalborg West"
"816","p__Bacteroidota,g__Lentimicrobium",0,0.450475121634418,"Spearman","Mariagerfjord"
"2914","p__Patescibacteria,g__midas_g_10554",0,0.450176349974143,"Spearman","Mariagerfjord"
"734","p__Proteobacteria,g__Pseudolabrys",0,0.449276235899652,"Spearman","Total"
"27","p__Actinobacteriota,g__Leucobacter",0,0.449119913639104,"Spearman","Aalborg West"
"208","p__Firmicutes,g__Coprococcus",0,0.44838951272748,"Spearman","Aalborg West"
"623","p__Proteobacteria,g__Limnobacter",0,0.447923256815707,"Spearman","Total"
"1233","p__Bacteroidota,g__midas_g_428",0,0.44615651971313,"Spearman","Mariagerfjord"
"11","p__Acidobacteriota,g__midas_g_2780",0,0.44448210560182,"Spearman","Total"
"1962","p__Chloroflexi,g__midas_g_9049",0,0.442922258848937,"Spearman","Mariagerfjord"
"548","p__Acidobacteriota,g__midas_g_1096",0,0.442097307666091,"Spearman","Mariagerfjord"
"1051","p__Bacteroidota,g__midas_g_2143",0,0.441678287611106,"Spearman","Mariagerfjord"
"607","p__Proteobacteria,g__Denitratisoma",0,0.44123950907332,"Spearman","Total"
"2723","p__Latescibacterota,g__midas_g_1938",0,0.440771060755587,"Spearman","Mariagerfjord"
"407","p__Firmicutes,g__Romboutsia",0,0.438677674111306,"Spearman","Total"
"725","p__Proteobacteria,g__Phreatobacter",0,0.437715127587528,"Spearman","Total"
"3161","p__Proteobacteria,g__Gemmobacter",0,0.43681130568397,"Spearman","Aalborg West"
"1151","p__Bacteroidota,g__midas_g_535",0,0.43660390789425,"Spearman","Aalborg West"
"2154","p__Elusimicrobiota,g__midas_g_595",0,0.434884308022041,"Spearman","Mariagerfjord"
"269","p__Chloroflexi,g__midas_g_347",0,0.434712075485713,"Spearman","Total"
"1117","p__Bacteroidota,g__midas_g_300",0,0.433220928345078,"Spearman","Mariagerfjord"
"1104","p__Bacteroidota,g__midas_g_283",0,0.431443502705776,"Spearman","Mariagerfjord"
"854","p__Bacteroidota,g__midas_g_108",0,0.43094120606634,"Spearman","Mariagerfjord"
"198","p__Bacteroidota,g__midas_g_8836",0,0.430713491568789,"Spearman","Total"
"38","p__Actinobacteriota,g__Gordonia",0,0.430114032003157,"Spearman","Total"
"4242","p__Proteobacteria,g__midas_g_2087",0,0.429705811160406,"Spearman","Mariagerfjord"
"4421","p__Proteobacteria,g__Polaromonas",0,0.429421706197549,"Spearman","Aalborg East"
"1991","p__Cyanobacteria,g__Ca_Obscuribacter",0,0.428335899018045,"Spearman","Mariagerfjord"
"2414","p__Actinobacteriota,g__Leucobacter",0,0.427270489459614,"Spearman","Damhusåen"
"4721","p__Proteobacteria,g__Propionivibrio",0,0.426923497616753,"Spearman","Mariagerfjord"
"394","p__Firmicutes,g__midas_g_5340",0,0.42656723176275,"Spearman","Total"
"630","p__Proteobacteria,g__Methylorosula",0,0.425224945428881,"Spearman","Total"
"554","p__Planctomycetota,g__Blastopirellula",0,0.424803601863827,"Spearman","Total"
"6010","p__Actinobacteriota,g__Nocardioides",0,0.424668737129964,"Spearman","Mariagerfjord"
"1541","p__Chloroflexi,g__midas_g_1422",0,0.424570327442875,"Spearman","Aalborg West"
"261","p__Chloroflexi,g__midas_g_2265",0,0.424528179873562,"Spearman","Total"
"164","p__Bacteroidota,g__midas_g_380",0,0.422692418930597,"Spearman","Total"
"7911","p__Bacteroidota,g__Ignavibacterium",0,0.420660658051519,"Spearman","Mariagerfjord"
"4371","p__Proteobacteria,g__midas_g_41102",0,0.420431752039101,"Spearman","Mariagerfjord"
"370","p__Firmicutes,g__Faecalibacterium",0,0.419809827095458,"Spearman","Total"
"4610","p__Actinobacteriota,g__midas_g_957",0,0.418704576911876,"Spearman","Aalborg West"
"291","p__Chloroflexi,g__midas_g_824",0,0.418290122565545,"Spearman","Total"
"3811","p__Proteobacteria,g__Vitreoscilla",0,0.418260580255469,"Spearman","Damhusåen"
"2682","p__Firmicutes,g__Trichococcus",0,0.417592842631125,"Spearman","Aalborg East"
"792","p__Verrucomicrobiota,g__midas_g_2947",0,0.417289751409942,"Spearman","Total"
"110","p__Acidobacteriota,g__JGI_0001001-H03",0,0.416247909871135,"Pearson","Aalborg West"
"159","p__Bacteroidota,g__midas_g_3186",0,0.415415173332858,"Spearman","Total"
"2522","p__Patescibacteria,g__midas_g_4774",0,0.415277689549536,"Spearman","Damhusåen"
"167","p__Bacteroidota,g__midas_g_385",0,0.414454621064731,"Spearman","Total"
"357","p__Firmicutes,g__Clostridium_sensu_stricto_1",0,0.413885425591106,"Spearman","Total"
"2931","p__Proteobacteria,g__Alysiella",0,0.41218152346639,"Spearman","Aalborg West"
"285","p__Chloroflexi,g__midas_g_667",0,0.412179157655546,"Spearman","Total"
"3301","p__Proteobacteria,g__midas_g_155",0,0.412171546535689,"Spearman","Aalborg West"
"679","p__Proteobacteria,g__midas_g_454",0,0.411965660261265,"Spearman","Total"
"3783","p__Proteobacteria,g__Ca_Accumulibacter",0,0.411935809326527,"Spearman","Mariagerfjord"
"3111","p__Patescibacteria,g__midas_g_4774",0,0.411541228747475,"Spearman","Aalborg East"
"2402","p__Patescibacteria,g__midas_g_2020",0,0.410749368164515,"Spearman","Damhusåen"
"499","p__Patescibacteria,g__midas_g_20412",0,0.410398533034946,"Spearman","Total"
"4412","p__Actinobacteriota,g__midas_g_99",0,0.409916221489762,"Spearman","Damhusåen"
"1021","p__Firmicutes,g__Anaerostipes",0,0.407669437972805,"Pearson","Aalborg West"
"2711","p__Patescibacteria,g__midas_g_363",0,0.407572725981024,"Spearman","Aalborg West"
"279","p__Chloroflexi,g__midas_g_5463",0,0.407518285729753,"Spearman","Total"
"2612","p__Actinobacteriota,g__Galbitalea",0,0.406722764018525,"Spearman","Aalborg East"
"80","p__Actinobacteriota,g__Mycobacterium",0,0.405653844460262,"Spearman","Total"
"616","p__Bacteroidota,g__IheB3-7",0,0.401745384035939,"Pearson","Aalborg West"
"64","p__Actinobacteriota,g__midas_g_366",0,0.400727936447535,"Spearman","Total"
"2841","p__Planctomycetota,g__midas_g_562",0,0.399658974420784,"Spearman","Aalborg West"
"2973","p__Patescibacteria,g__midas_g_11143",0,0.398537948412562,"Spearman","Mariagerfjord"
"533","p__Patescibacteria,g__midas_g_6697",0,0.397849119983946,"Spearman","Total"
"667","p__Proteobacteria,g__midas_g_2943",0,0.395357591661262,"Spearman","Total"
"1016","p__Bacteroidota,g__midas_g_1955",0,0.393787768965492,"Spearman","Mariagerfjord"
"296","p__Chloroflexi,g__midas_g_882",0,0.3937723144189,"Spearman","Total"
"4691","p__Proteobacteria,g__Undibacterium",0,0.393370662397467,"Spearman","Aalborg East"
"325","p__Desulfobacterota,g__midas_g_2305",0,0.392371572983413,"Spearman","Total"
"2321","p__Firmicutes,g__Romboutsia",0,0.392076504170842,"Spearman","Aalborg West"
"525","p__Patescibacteria,g__midas_g_51169",0,0.391042685686489,"Spearman","Total"
"502","p__Patescibacteria,g__midas_g_2460",0,0.390696410773694,"Spearman","Total"
"125","p__Bacteroidota,g__midas_g_1223",0,0.390149349515994,"Spearman","Total"
"252","p__Chloroflexi,g__midas_g_169",0,0.389841374350787,"Spearman","Total"
"1403","p__Bacteroidota,g__midas_g_843",0,0.389793008036205,"Spearman","Mariagerfjord"
"961","p__Bacteroidota,g__midas_g_225",0,0.389768076598304,"Spearman","Aalborg West"
"106","p__Bacteroidota,g__DMER64",0,0.38959684149762,"Spearman","Total"
"1215","p__Acidobacteriota,g__midas_g_973",0,0.388006160199955,"Spearman","Mariagerfjord"
"3603","p__Proteobacteria,g__Pseudorhodobacter",0,0.387377750710085,"Spearman","Damhusåen"
"348","p__Proteobacteria,g__midas_g_5828",0,0.387184754009655,"Spearman","Aalborg West"
"20","p__Acidobacteriota,g__midas_g_991",0,0.386594173780525,"Spearman","Total"
"290","p__Chloroflexi,g__midas_g_8033",0,0.386514868591399,"Spearman","Total"
"431","p__Proteobacteria,g__midas_g_3003",0,0.386401354855421,"Spearman","Mariagerfjord"
"915","p__Proteobacteria,g__Rhodobacter",0,0.386043280357894,"Pearson","Damhusåen"
"3310","p__Actinobacteriota,g__midas_g_1268",0,0.384266816075723,"Spearman","Aalborg West"
"3251","p__Patescibacteria,g__midas_g_8429",0,0.383498087168019,"Spearman","Aalborg East"
"660","p__Proteobacteria,g__midas_g_251",0,0.383319419555455,"Spearman","Total"
"537","p__Patescibacteria,g__midas_g_7188",0,0.383188499554754,"Spearman","Total"
"1061","p__Bacteroidota,g__midas_g_384",0,0.382669500312411,"Spearman","Aalborg West"
"199","p__Firmicutes,g__Lactococcus",0,0.38191475800716,"Spearman","Damhusåen"
"2664","p__Gemmatimonadota,g__Gemmatimonas",0,0.381690629797586,"Spearman","Mariagerfjord"
"619","p__Actinobacteriota,g__Propionicimonas",0,0.381550778933011,"Spearman","Aalborg East"
"320","p__Desulfobacterota,g__midas_g_1441",0,0.38107795534599,"Spearman","Total"
"916","p__Acidobacteriota,g__midas_g_502",0,0.380799558244897,"Spearman","Mariagerfjord"
"409","p__Firmicutes,g__Ruminococcus",0,0.379384429646777,"Spearman","Total"
"699","p__Proteobacteria,g__midas_g_7280",0,0.378764399653952,"Spearman","Total"
"338","p__Fermentibacterota,g__Ca_Fermentibacter",0,0.378210525978076,"Spearman","Total"
"766","p__Bacteroidota,g__midas_g_11003",0,0.37782101211028,"Spearman","Aalborg West"
"1542","p__Bdellovibrionota,g__midas_g_12918",0,0.377449000328232,"Spearman","Mariagerfjord"
"4521","p__Proteobacteria,g__Rhodoferax",0,0.377095699646456,"Spearman","Aalborg East"
"982","p__Bacteroidota,g__midas_g_171",0,0.376904250293962,"Spearman","Mariagerfjord"
"488","p__Patescibacteria,g__midas_g_1533",0,0.376608432125883,"Spearman","Total"
"254","p__Myxococcota,g__midas_g_990",0,0.376571265065456,"Spearman","Aalborg West"
"586","p__Proteobacteria,g__Bradyrhizobium",0,0.375182730864625,"Spearman","Total"
"1821","p__Chloroflexi,g__midas_g_859",0,0.375114971889812,"Spearman","Aalborg West"
"2674","p__Gemmatimonadota,g__midas_g_395",0,0.374861902528614,"Spearman","Mariagerfjord"
"487","p__Patescibacteria,g__midas_g_15216",0,0.374293852201988,"Spearman","Total"
"675","p__Proteobacteria,g__midas_g_41102",0,0.37385846857583,"Spearman","Total"
"1792","p__Chloroflexi,g__midas_g_2265",0,0.373856775885525,"Spearman","Mariagerfjord"
"713","p__Proteobacteria,g__Neisseria",0,0.373482327147968,"Spearman","Total"
"4910","p__Actinobacteriota,g__midas_g_5098",0,0.372025540871558,"Spearman","Aalborg East"
"1301","p__Bacteroidota,g__Prevotella_9",0,0.371169905237525,"Spearman","Aalborg West"
"462","p__Patescibacteria,g__midas_g_10554",0,0.370491118131415,"Spearman","Total"
"2131","p__Fusobacteriota,g__Leptotrichia",0,0.370326445167416,"Spearman","Damhusåen"
"459","p__Proteobacteria,g__Sphingopyxis",0,0.368702414229679,"Spearman","Aalborg East"
"917","p__Bacteroidota,g__midas_g_1328",0,0.368151762244248,"Spearman","Mariagerfjord"
"2013","p__Actinobacteriota,g__CL500-29_marine_group",0,0.366497960864298,"Spearman","Mariagerfjord"
"811","p__Chloroflexi,g__midas_g_5463",0,0.366284357510935,"Pearson","Aalborg West"
"1271","p__Bacteroidota,g__OLB12",0,0.365218490402076,"Spearman","Aalborg West"
"490","p__Proteobacteria,g__Sphingobium",0,0.365182505506278,"Spearman","Mariagerfjord"
"1093","p__Bacteroidota,g__midas_g_2661",0,0.364583744145478,"Spearman","Mariagerfjord"
"506","p__Patescibacteria,g__midas_g_29001",0,0.36410441097485,"Spearman","Total"
"3191","p__Proteobacteria,g__Ideonella",0,0.363915491244921,"Spearman","Aalborg West"
"924","p__Bacteroidota,g__midas_g_1363",0,0.363892788625822,"Spearman","Mariagerfjord"
"795","p__Verrucomicrobiota,g__midas_g_4623",0,0.363706732699957,"Spearman","Total"
"663","p__Proteobacteria,g__midas_g_2680",0,0.36354055580691,"Spearman","Total"
"4571","p__Proteobacteria,g__midas_g_7950",0,0.36321423245103,"Spearman","Mariagerfjord"
"482","p__Patescibacteria,g__midas_g_13219",0,0.363048855834376,"Spearman","Total"
"275","p__Chloroflexi,g__midas_g_461",0,0.362368757282389,"Spearman","Total"
"271","p__Chloroflexi,g__midas_g_391",0,0.362098309707188,"Spearman","Total"
"3801","p__Proteobacteria,g__Variovorax",0,0.361972491056626,"Spearman","Damhusåen"
"536","p__Patescibacteria,g__midas_g_6984",0,0.361366318619009,"Spearman","Total"
"1471","p__Chloroflexi,g__midas_g_1184",0,0.361286088963061,"Spearman","Aalborg West"
"1402","p__Bacteroidota,g__midas_g_9628",0,0.360013917137941,"Spearman","Aalborg East"
"785","p__Bacteroidota,g__midas_g_1195",0,0.360011002421057,"Spearman","Aalborg West"
"2932","p__Patescibacteria,g__midas_g_10554",0,0.359815644652453,"Spearman","Aalborg East"
"147","p__Bacteroidota,g__midas_g_2126",0,0.359604992737718,"Spearman","Total"
